time,angle,velocity,current
302,204.0,-126.21976804327711,-3.6144295
488,204.0,-139.11757668259,-3.9223525
498,204.0,-231.24478124911067,-6.620344500000001
507,204.0,-234.31568806799476,-6.2097805
518,204.0,-293.277098990568,-7.5001245
528,204.0,-268.7098444394958,-6.5763555
538,204.0,-307.40327035743445,-7.5001245
548,204.0,-272.3949326221566,-6.4883775
559,204.0,-312.9309026314257,-7.5001245
568,204.0,-279.1509276237015,-6.5616925
578,204.0,-313.54508399520256,-7.5001245
588,204.0,-280.9934717150319,-6.6056815
599,204.0,-312.9309026314257,-7.5001245
609,204.0,-279.1509276237015,-6.6056815
619,204.0,-311.0883585400953,-7.5001245
629,204.0,-279.1509276237015,-6.6056815
638,204.0,-310.4741771763185,-7.5001245
649,204.0,-277.308383532371,-6.5616925
659,204.0,-311.70253990387204,-7.5001245
669,204.0,-275.46583944104066,-6.5177035000000005
679,204.0,-311.0883585400953,-7.5001245
690,204.0,-277.9225648961479,-6.5177035000000005
700,204.0,-312.3167212676489,-7.5001245
709,204.0,-280.9934717150319,-6.6496705
719,204.0,-311.0883585400953,-7.5001245
730,204.0,-280.37929035125507,-6.6350075
740,204.0,-311.0883585400953,-7.5001245
750,204.0,-280.9934717150319,-6.6496705
760,204.0,-309.85999581254174,-7.5001245
770,204.0,-280.9934717150319,-6.664333500000001
780,204.0,-310.4741771763185,-7.5001245
790,204.0,-280.9934717150319,-6.6496705
800,204.0,-309.85999581254174,-7.5001245
811,204.0,-280.9934717150319,-6.591018500000001
821,204.0,-312.3167212676489,-7.5001245
831,204.0,-280.37929035125507,-6.6496705
840,204.0,-305.56072626610404,-7.5001245
850,204.0,-273.6232953497102,-6.5763555
861,204.0,-306.7890889936577,-7.470798500000001
871,204.0,-282.8360158063623,-6.7229855
881,204.0,-309.24581444876486,-7.5001245
891,204.0,-280.9934717150319,-6.6936595
901,204.0,-303.71818217477363,-7.4561355
911,204.0,-279.7651089874783,-6.6936595
921,204.0,-308.6316330849881,-7.5001245
931,204.0,-279.7651089874783,-6.6496705
942,204.0,-310.4741771763185,-7.5001245
952,204.0,-285.2927412614695,-6.7669745
962,204.0,-308.6316330849881,-7.5001245
971,204.0,-279.7651089874783,-6.6496705
982,204.0,-308.0174517212113,-7.5001245
992,204.0,-283.45019717013906,-6.737648500000001
1002,204.0,-309.24581444876486,-7.5001245
1012,204.0,-284.6785598976927,-6.737648500000001
1022,204.0,-305.56072626610404,-7.397483500000001
1032,204.0,-281.60765307880865,-6.7083225
1042,204.0,-300.64727535588963,-7.368157500000001
1052,204.0,-290.8203735354607,-6.8989415
1062,204.0,-301.26145671966646,-7.4121465
1073,204.0,-291.4345548992376,-6.957593500000001
1083,204.0,-301.26145671966646,-7.3388315
1093,204.0,-296.9621871732288,-6.9722565
1102,204.0,-298.1905499007824,-7.2655165
1113,204.0,-293.89128035434476,-6.9429305
1123,204.0,-292.04873626301435,-7.1335495
1133,204.0,-296.9621871732288,-7.030908500000001
1143,204.0,-293.89128035434476,-7.2215275000000005
1154,204.0,-301.26145671966646,-7.1482125000000005
1163,204.0,-292.6629176267911,-7.1482125000000005
1173,204.0,-298.1905499007824,-7.0748975000000005
1183,204.0,-289.5920108079072,-7.1335495
1193,204.0,-305.56072626610404,-7.2655165
1204,204.0,-288.3636480803535,-7.030908500000001
1214,204.0,-304.33236353855045,-7.2655165
1223,204.0,-284.0643785339159,-7.0015825000000005
1233,204.0,-311.70253990387204,-7.3534945
1244,204.0,-280.37929035125507,-6.8696155
1254,204.0,-310.4741771763185,-7.441472500000001
1264,204.0,-285.2927412614695,-6.957593500000001
1274,204.0,-306.17490762988086,-7.3095055
1284,204.0,-280.9934717150319,-6.884278500000001
1294,204.0,-307.40327035743445,-7.4268095
1304,204.0,-280.9934717150319,-6.8989415
1314,204.0,-309.85999581254174,-7.5001245
1325,204.0,-280.37929035125507,-6.8402895
1335,204.0,-312.3167212676489,-7.5001245
1345,204.0,-279.7651089874783,-6.7963005
1354,204.0,-311.70253990387204,-7.4854615
1364,204.0,-280.9934717150319,-6.7669745
1375,204.0,-313.54508399520256,-7.5001245
1385,204.0,-276.69420216859424,-6.6936595
1395,204.0,-314.1592653589793,-7.5001245
1405,204.0,-273.6232953497102,-6.6056815
1415,204.0,-314.1592653589793,-7.5001245
1425,204.0,-276.0800208048174,-6.664333500000001
1435,204.0,-314.1592653589793,-7.5001245
1445,204.0,-276.69420216859424,-6.591018500000001
1456,204.0,-314.1592653589793,-7.5001245
1466,204.0,-275.46583944104066,-6.6056815
1476,204.0,-314.1592653589793,-7.5001245
1486,204.0,-268.09566307571896,-6.5030405
1497,204.0,-311.70253990387204,-7.5001245
1506,204.0,-277.308383532371,-6.591018500000001
1516,204.0,-314.1592653589793,-7.5001245
1526,204.0,-276.69420216859424,-6.6350075
1537,204.0,-313.54508399520256,-7.5001245
1547,204.0,-276.0800208048174,-6.591018500000001
1557,204.0,-311.70253990387204,-7.5001245
1566,204.0,-276.69420216859424,-6.6056815
1576,204.0,-312.9309026314257,-7.5001245
1587,204.0,-276.69420216859424,-6.591018500000001
1597,204.0,-313.54508399520256,-7.5001245
1607,204.0,-272.3949326221566,-6.5030405
1617,204.0,-312.3167212676489,-7.5001245
1627,204.0,-277.308383532371,-6.6056815
1637,204.0,-312.3167212676489,-7.5001245
1647,204.0,-277.9225648961479,-6.6056815
1657,204.0,-312.3167212676489,-7.5001245
1668,204.0,-273.6232953497102,-6.5030405
1678,204.0,-313.54508399520256,-7.5001245
1687,204.0,-278.53674625992466,-6.5763555
1697,204.0,-310.4741771763185,-7.5001245
1708,204.0,-279.7651089874783,-6.6350075
1718,204.0,-308.6316330849881,-7.5001245
1728,204.0,-277.9225648961479,-6.620344500000001
1738,204.0,-311.70253990387204,-7.5001245
1747,204.0,-280.37929035125507,-6.664333500000001
1758,204.0,-312.9309026314257,-7.5001245
1768,204.0,-274.85165807726383,-6.620344500000001
1778,204.0,-306.17490762988086,-7.5001245
1788,204.0,-270.5523885308262,-6.6056815
1799,204.0,-312.9309026314257,-7.5001245
1809,204.0,-274.85165807726383,-6.5616925
1818,204.0,-312.9309026314257,-7.5001245
1828,204.0,-282.8360158063623,-6.6936595
1839,204.0,-311.70253990387204,-7.5001245
1849,204.0,-279.7651089874783,-6.620344500000001
1859,204.0,-312.9309026314257,-7.5001245
1869,204.0,-277.9225648961479,-6.5763555
1880,204.0,-309.85999581254174,-7.5001245
1889,204.0,-279.7651089874783,-6.6496705
1899,204.0,-311.0883585400953,-7.5001245
1909,204.0,-279.7651089874783,-6.5763555
1920,204.0,-311.70253990387204,-7.5001245
1930,204.0,-280.37929035125507,-6.6496705
1940,204.0,-305.56072626610404,-7.5001245
1949,204.0,-281.60765307880865,-6.737648500000001
1959,204.0,-310.4741771763185,-7.5001245
1970,204.0,-279.7651089874783,-6.6496705
1980,204.0,-311.0883585400953,-7.5001245
1990,204.0,-280.37929035125507,-6.6789965
2000,204.0,-308.6316330849881,-7.5001245
2010,204.0,-281.60765307880865,-6.7229855
2020,203.408,-303.1040008109968,-7.4561355
2030,204.0,-282.2218344425855,-6.737648500000001
2040,204.0,-310.4741771763185,-7.5001245
2051,204.0,-279.7651089874783,-6.6350075
2061,204.0,-311.0883585400953,-7.5001245
2070,204.0,-276.0800208048174,-6.7229855
2080,204.0,-311.70253990387204,-7.5001245
2091,204.0,-284.0643785339159,-6.7083225
2101,204.0,-304.33236353855045,-7.441472500000001
2111,204.0,-281.60765307880865,-6.7523115
2121,204.0,-308.6316330849881,-7.5001245
2131,204.0,-277.9225648961479,-6.6350075
2141,204.0,-308.6316330849881,-7.5001245
2151,204.0,-283.45019717013906,-6.737648500000001
2161,204.0,-309.24581444876486,-7.5001245
2171,204.0,-280.37929035125507,-6.664333500000001
2182,204.0,-306.7890889936577,-7.4121465
2192,204.0,-281.60765307880865,-6.737648500000001
2201,204.0,-309.85999581254174,-7.5001245
2211,204.0,-285.2927412614695,-6.7523115
2222,204.0,-309.85999581254174,-7.441472500000001
2232,204.0,-287.1352853527999,-6.7669745
2242,204.0,-306.7890889936577,-7.4854615
2252,204.0,-285.9069226252463,-6.7816375
2262,204.0,-303.71818217477363,-7.441472500000001
2272,204.0,-292.04873626301435,-6.884278500000001
2282,204.0,-302.48981944722004,-7.368157500000001
2292,204.0,-293.277098990568,-6.9136045
2302,204.0,-294.5054617181216,-7.250853500000001
2313,204.0,-293.89128035434476,-7.0015825000000005
2322,204.0,-298.1905499007824,-7.294842500000001
2332,204.0,-294.5054617181216,-6.957593500000001
2342,204.0,-296.34800580945193,-7.2655165
2353,204.0,-303.1040008109968,-7.1922015
2363,204.0,-293.277098990568,-7.177538500000001
2373,204.0,-298.8047312645592,-7.0602345
2382,204.0,-292.04873626301435,-7.177538500000001
2393,204.0,-301.87563808344316,-7.1482125000000005
2403,204.0,-289.5920108079072,-7.1188865
2413,204.0,-304.9465449023273,-7.2361905
2423,204.0,-288.9778294441303,-7.0602345
2434,204.0,-307.40327035743445,-7.3095055
2443,204.0,-286.52110398902306,-6.9869195
2453,204.0,-308.0174517212113,-7.3095055
2463,204.0,-285.9069226252463,-6.957593500000001
2473,204.0,-309.85999581254174,-7.397483500000001
2484,204.0,-283.45019717013906,-6.8549525000000004
2494,204.0,-308.0174517212113,-7.3388315
2504,204.0,-282.2218344425855,-6.8256265
2513,204.0,-312.3167212676489,-7.5001245
2524,204.0,-281.60765307880865,-6.8402895
2534,204.0,-309.24581444876486,-7.4268095
2544,204.0,-280.9934717150319,-6.810963500000001
2554,204.0,-313.54508399520256,-7.5001245
2565,204.0,-280.37929035125507,-6.7816375
2574,204.0,-310.4741771763185,-7.5001245
2584,204.0,-284.6785598976927,-6.8549525000000004
2594,204.0,-311.0883585400953,-7.5001245
2605,204.0,-276.69420216859424,-6.7229855
2615,204.0,-314.1592653589793,-7.5001245
2625,204.0,-278.53674625992466,-6.6936595
2635,204.0,-314.1592653589793,-7.5001245
2644,204.0,-277.308383532371,-6.6350075
2655,204.0,-314.1592653589793,-7.5001245
2665,204.0,-275.46583944104066,-6.620344500000001
2675,204.0,-314.1592653589793,-7.5001245
2685,204.0,-276.0800208048174,-6.620344500000001
2696,204.0,-314.1592653589793,-7.5001245
2705,204.0,-274.85165807726383,-6.620344500000001
2715,204.0,-314.1592653589793,-7.5001245
2725,204.0,-275.46583944104066,-6.6056815
2736,204.0,-314.1592653589793,-7.5001245
2746,204.0,-276.0800208048174,-6.6056815
2756,204.0,-308.6316330849881,-7.5001245
2765,204.0,-273.6232953497102,-6.591018500000001
2776,204.0,-314.1592653589793,-7.5001245
2786,204.0,-276.69420216859424,-6.591018500000001
2796,204.0,-310.4741771763185,-7.5001245
2806,204.0,-274.23747671348707,-6.5616925
2817,204.0,-311.0883585400953,-7.5001245
2826,204.0,-276.0800208048174,-6.591018500000001
2836,204.0,-311.0883585400953,-7.5001245
2846,204.0,-278.53674625992466,-6.6350075
2856,204.0,-314.1592653589793,-7.5001245
2867,204.0,-277.9225648961479,-6.5763555
2877,204.0,-314.1592653589793,-7.5001245
2887,204.0,-277.308383532371,-6.5763555
2896,204.0,-309.24581444876486,-7.5001245
2907,204.0,-276.0800208048174,-6.5763555
2917,204.0,-312.3167212676489,-7.5001245
2927,204.0,-277.9225648961479,-6.591018500000001
2937,204.0,-312.9309026314257,-7.5001245
2948,204.0,-276.69420216859424,-6.5763555
2957,204.0,-308.6316330849881,-7.5001245
2967,204.0,-277.9225648961479,-6.5763555
2977,204.0,-312.3167212676489,-7.5001245
2988,204.0,-277.308383532371,-6.6350075
2998,204.0,-312.3167212676489,-7.5001245
3008,204.0,-280.9934717150319,-6.620344500000001
3017,204.0,-314.1592653589793,-7.5001245
3027,204.0,-275.46583944104066,-6.5177035000000005
3038,204.0,-311.70253990387204,-7.5001245
3048,204.0,-279.1509276237015,-6.6056815
3058,204.0,-308.0174517212113,-7.5001245
3068,204.0,-279.7651089874783,-6.664333500000001
3078,204.0,-314.1592653589793,-7.5001245
3088,204.0,-282.2218344425855,-6.6496705
3098,204.0,-314.1592653589793,-7.5001245
3108,204.0,-280.9934717150319,-6.6496705
3119,204.0,-313.54508399520256,-7.5001245
3129,204.0,-281.60765307880865,-6.6056815
3139,204.0,-310.4741771763185,-7.5001245
3148,204.0,-281.60765307880865,-6.6789965
3159,204.0,-312.3167212676489,-7.5001245
3169,204.0,-276.69420216859424,-6.5763555
3179,204.0,-307.40327035743445,-7.5001245
3189,204.0,-277.308383532371,-6.664333500000001
3200,204.0,-309.24581444876486,-7.5001245
