time,angle,velocity,current
302,204.0,-132.97576304482197,-3.5997665000000003
343,204.0,-191.32299260361842,-5.4326415
353,204.0,-207.90588942559214,-5.7112385
363,204.0,-276.0800208048174,-7.368157500000001
373,204.0,-265.02475625683496,-6.5763555
382,204.0,-302.48981944722004,-7.5001245
393,204.0,-276.69420216859424,-6.6350075
403,204.0,-311.70253990387204,-7.5001245
413,204.0,-277.9225648961479,-6.5763555
423,204.0,-309.85999581254174,-7.5001245
434,204.0,-280.37929035125507,-6.6496705
443,204.0,-311.0883585400953,-7.5001245
453,204.0,-278.53674625992466,-6.6056815
463,204.0,-311.0883585400953,-7.5001245
474,204.0,-279.7651089874783,-6.620344500000001
484,204.0,-311.0883585400953,-7.5001245
494,204.0,-280.9934717150319,-6.6350075
503,204.0,-309.24581444876486,-7.5001245
514,204.0,-277.308383532371,-6.6056815
524,204.0,-309.85999581254174,-7.5001245
534,204.0,-282.2218344425855,-6.6936595
544,204.0,-310.4741771763185,-7.5001245
555,204.0,-279.7651089874783,-6.6350075
565,204.0,-309.24581444876486,-7.5001245
574,204.0,-273.6232953497102,-6.5323665
584,204.0,-309.24581444876486,-7.5001245
594,204.0,-283.45019717013906,-6.7229855
605,204.0,-309.24581444876486,-7.5001245
615,204.0,-278.53674625992466,-6.6056815
625,204.0,-309.24581444876486,-7.5001245
634,204.0,-285.9069226252463,-6.7523115
645,204.0,-310.4741771763185,-7.5001245
655,204.0,-280.9934717150319,-6.6496705
665,204.0,-309.85999581254174,-7.5001245
675,204.0,-278.53674625992466,-6.620344500000001
686,204.0,-309.85999581254174,-7.5001245
695,204.0,-285.2927412614695,-6.7669745
705,204.0,-309.85999581254174,-7.5001245
715,204.0,-278.53674625992466,-6.620344500000001
726,204.0,-304.33236353855045,-7.441472500000001
736,204.0,-283.45019717013906,-6.7816375
746,204.0,-311.70253990387204,-7.5001245
755,204.0,-285.2927412614695,-6.737648500000001
765,204.0,-309.24581444876486,-7.5001245
776,204.0,-277.9225648961479,-6.6350075
786,204.0,-308.0174517212113,-7.5001245
796,204.0,-288.9778294441303,-6.8549525000000004
806,204.0,-308.6316330849881,-7.4854615
817,204.0,-281.60765307880865,-6.6496705
826,204.0,-306.17490762988086,-7.4854615
836,204.0,-283.45019717013906,-6.6496705
846,204.0,-299.418912628336,-7.3388315
857,204.0,-296.34800580945193,-7.030908500000001
867,204.0,-296.34800580945193,-7.397483500000001
877,204.0,-291.4345548992376,-6.884278500000001
