time,angle,velocity,current
302,204.0,-91.82561167177606,-3.1452135
344,204.0,-160.61392441477818,-4.9634255000000005
354,204.0,-251.51276625374524,-7.1482125000000005
364,204.0,-244.75677125220042,-6.400399500000001
374,204.0,-295.1196430818984,-7.5001245
385,204.0,-269.93820716704937,-6.5763555
395,204.0,-308.6316330849881,-7.5001245
404,204.0,-273.6232953497102,-6.547029500000001
414,204.0,-311.0883585400953,-7.5001245
424,204.0,-275.46583944104066,-6.547029500000001
435,204.0,-311.70253990387204,-7.5001245
445,204.0,-274.85165807726383,-6.5177035000000005
455,204.0,-311.70253990387204,-7.5001245
465,204.0,-274.23747671348707,-6.547029500000001
475,204.0,-311.0883585400953,-7.5001245
485,204.0,-276.0800208048174,-6.5616925
495,204.0,-309.85999581254174,-7.5001245
505,204.0,-279.1509276237015,-6.620344500000001
516,204.0,-312.3167212676489,-7.5001245
526,204.0,-277.308383532371,-6.5763555
535,204.0,-311.0883585400953,-7.5001245
545,204.0,-274.85165807726383,-6.473714500000001
556,204.0,-312.3167212676489,-7.5001245
566,204.0,-277.9225648961479,-6.5763555
576,204.0,-311.70253990387204,-7.5001245
586,204.0,-276.0800208048174,-6.5763555
595,204.0,-312.3167212676489,-7.5001245
606,204.0,-278.53674625992466,-6.5763555
616,204.0,-311.70253990387204,-7.5001245
626,204.0,-277.9225648961479,-6.5763555
636,204.0,-310.4741771763185,-7.5001245
647,204.0,-277.9225648961479,-6.5763555
657,204.0,-310.4741771763185,-7.5001245
666,204.0,-278.53674625992466,-6.6056815
676,204.0,-311.0883585400953,-7.5001245
687,204.0,-277.308383532371,-6.591018500000001
697,204.0,-305.56072626610404,-7.470798500000001
707,204.0,-278.53674625992466,-6.620344500000001
717,204.0,-309.85999581254174,-7.5001245
728,204.0,-277.308383532371,-6.6056815
737,204.0,-309.85999581254174,-7.5001245
747,204.0,-278.53674625992466,-6.620344500000001
757,204.0,-309.24581444876486,-7.5001245
768,204.0,-278.53674625992466,-6.620344500000001
778,204.0,-309.85999581254174,-7.5001245
788,204.0,-278.53674625992466,-6.620344500000001
798,204.0,-309.24581444876486,-7.5001245
808,204.0,-277.9225648961479,-6.620344500000001
818,204.0,-303.1040008109968,-7.3828205
828,204.0,-280.9934717150319,-6.6936595
838,204.0,-309.24581444876486,-7.5001245
848,204.0,-277.308383532371,-6.5763555
859,204.0,-309.85999581254174,-7.5001245
868,204.0,-281.60765307880865,-6.6936595
878,204.0,-308.6316330849881,-7.5001245
888,204.0,-280.9934717150319,-6.6789965
899,204.0,-304.33236353855045,-7.4268095
909,204.0,-283.45019717013906,-6.7523115
919,204.0,-306.7890889936577,-7.4854615
929,204.0,-283.45019717013906,-6.7523115
939,204.0,-306.7890889936577,-7.4854615
949,204.0,-289.5920108079072,-6.8402895
959,204.0,-303.71818217477363,-7.4268095
969,204.0,-292.04873626301435,-6.9136045
979,204.0,-299.418912628336,-7.3534945
