time,angle,velocity,current
302,204.0,-53.132185753837376,-2.6173455000000003
347,204.0,-122.53467986061628,-4.142297500000001
357,204.0,-267.4814817119422,-7.5001245
367,204.0,-201.76407578782408,-5.0660665
376,204.0,-304.33236353855045,-7.5001245
387,204.0,-220.18951670112818,-5.0807295
397,204.0,-309.85999581254174,-7.5001245
407,204.0,-217.1186098822442,-4.9634255000000005
417,204.0,-309.24581444876486,-7.5001245
428,204.0,-222.03206079245862,-5.0807295
438,204.0,-310.4741771763185,-7.5001245
447,204.0,-226.9455117026731,-5.1687075
457,204.0,-309.85999581254174,-7.5001245
467,204.0,-220.803698064905,-5.0514035
478,204.0,-308.0174517212113,-7.4854615
488,204.0,-232.4731439766643,-5.3006745
498,204.0,-309.85999581254174,-7.5001245
508,204.0,-224.48878624756586,-5.1393815
518,204.0,-306.17490762988086,-7.441472500000001
528,204.0,-224.48878624756586,-5.1540445
538,204.0,-306.17490762988086,-7.441472500000001
548,204.0,-240.45750170576275,-5.4912935
559,204.0,-306.7890889936577,-7.3828205
569,204.0,-226.33133033889624,-5.1687075
579,204.0,-304.33236353855045,-7.368157500000001
588,204.0,-226.33133033889624,-5.2126965
599,204.0,-306.17490762988086,-7.3828205
609,204.0,-244.75677125220042,-5.5939345000000005
619,204.0,-304.33236353855045,-7.3534945
629,204.0,-229.4022371577803,-5.2713485
640,204.0,-301.26145671966646,-7.294842500000001
650,204.0,-233.08732534044108,-5.3739895
659,204.0,-301.87563808344316,-7.3095055
669,204.0,-239.2291389782092,-5.5059565
679,204.0,-300.0330939921128,-7.2655165
690,204.0,-233.08732534044108,-5.3886525
700,204.0,-299.418912628336,-7.250853500000001
710,204.0,-258.2687612552901,-5.9018575
719,204.0,-296.34800580945193,-7.2361905
730,204.0,-241.68586443331634,-5.5059565
740,204.0,-291.4345548992376,-7.104223500000001
750,204.0,-249.05604079863804,-5.6819125
760,204.0,-277.308383532371,-6.8696155
771,204.0,-279.7651089874783,-6.473714500000001
781,204.0,-271.16656989460296,-6.737648500000001
790,204.0,-273.0091139859334,-6.2684325
800,204.0,-260.7254867103973,-6.5177035000000005
811,204.0,-293.89128035434476,-6.7523115
821,204.0,-255.81203580018285,-6.400399500000001
831,204.0,-302.48981944722004,-7.0455715
841,204.0,-247.21349670730763,-6.2244435000000005
851,204.0,-296.9621871732288,-6.9282675000000005
861,204.0,-244.1425898884236,-6.107139500000001
871,204.0,-314.1592653589793,-7.5001245
881,204.0,-241.68586443331634,-6.0191615
891,204.0,-304.9465449023273,-7.1922015
902,204.0,-236.77241352310196,-5.9458465
912,204.0,-309.24581444876486,-7.3534945
922,204.0,-232.4731439766643,-5.769890500000001
931,204.0,-314.1592653589793,-7.5001245
942,204.0,-226.9455117026731,-5.6672495000000005
952,204.0,-314.1592653589793,-7.5001245
962,204.0,-225.71714897511944,-5.5792715
972,204.0,-314.1592653589793,-7.5001245
983,204.0,-222.03206079245862,-5.4619675
992,204.0,-314.1592653589793,-7.5001245
1002,204.0,-215.89024715469057,-5.3446635
1012,204.0,-314.1592653589793,-7.5001245
1022,204.0,-214.66188442713695,-5.2860115
1033,204.0,-314.1592653589793,-7.5001245
1043,204.0,-209.13425215314575,-5.1687075
1053,204.0,-314.1592653589793,-7.5001245
1062,204.0,-209.74843351692252,-5.1247185
1073,204.0,-314.1592653589793,-7.5001245
1083,204.0,-206.67752669803852,-5.0220775
1093,204.0,-314.1592653589793,-7.5001245
1103,204.0,-203.6066198791545,-4.919436500000001
1114,204.0,-314.1592653589793,-7.5001245
1124,204.0,-202.9924385153777,-4.8901105000000005
1133,204.0,-314.1592653589793,-7.5001245
1143,204.0,-202.37825715160088,-4.846121500000001
1154,204.0,-314.1592653589793,-7.5001245
1164,204.0,-202.9924385153777,-4.8167955000000005
1174,204.0,-314.1592653589793,-7.5001245
1184,204.0,-204.8349826067081,-4.8167955000000005
1195,204.0,-314.1592653589793,-7.5001245
1204,204.0,-205.4491639704849,-4.8021325
1214,204.0,-314.1592653589793,-7.5001245
1224,204.0,-207.29170806181534,-4.8167955000000005
1234,204.0,-314.1592653589793,-7.5001245
1245,204.0,-210.9767962444761,-4.8167955000000005
1255,204.0,-314.1592653589793,-7.5001245
1265,204.0,-209.13425215314575,-4.8314585
1275,204.0,-314.1592653589793,-7.5001245
1285,204.0,-211.59097760825296,-4.8607845
1295,204.0,-314.1592653589793,-7.5001245
1305,204.0,-217.1186098822442,-4.919436500000001
1315,204.0,-314.1592653589793,-7.5001245
1326,204.0,-214.0477030633602,-4.8754475
1336,204.0,-314.1592653589793,-7.5001245
1346,204.0,-217.1186098822442,-4.9340995
1356,204.0,-314.1592653589793,-7.5001245
1366,204.0,-222.03206079245862,-5.0074145
1376,204.0,-312.9309026314257,-7.5001245
1386,204.0,-217.73279124602098,-4.9634255000000005
1396,204.0,-312.3167212676489,-7.5001245
1406,204.0,-230.6305998853339,-5.1833705000000005
1417,204.0,-314.1592653589793,-7.5001245
1427,204.0,-218.96115397357462,-4.9780885
1436,204.0,-311.70253990387204,-7.5001245
1446,204.0,-219.57533533735142,-5.0220775
1457,204.0,-311.70253990387204,-7.5001245
1467,204.0,-234.92986943177152,-5.2860115
1477,204.0,-311.0883585400953,-7.5001245
1487,204.0,-220.803698064905,-5.0514035
1497,204.0,-309.24581444876486,-7.5001245
1507,204.0,-222.64624215623542,-5.0953925
1517,204.0,-310.4741771763185,-7.5001245
1527,204.0,-230.6305998853339,-5.2420225
1538,204.0,-308.0174517212113,-7.4561355
1548,204.0,-222.64624215623542,-5.1100555000000005
1557,204.0,-306.7890889936577,-7.4561355
1567,204.0,-238.61495761443237,-5.4179785
1577,204.0,-309.85999581254174,-7.4561355
1588,204.0,-226.9455117026731,-5.1687075
1598,204.0,-305.56072626610404,-7.397483500000001
1608,204.0,-226.9455117026731,-5.2126965
1618,204.0,-303.71818217477363,-7.368157500000001
1628,204.0,-242.91422716086998,-5.623260500000001
1638,204.0,-304.9465449023273,-7.368157500000001
1648,204.0,-228.7880557940035,-5.2713485
1658,204.0,-303.1040008109968,-7.324168500000001
1669,204.0,-229.4022371577803,-5.3006745
1679,204.0,-303.71818217477363,-7.368157500000001
1688,204.0,-241.07168306953957,-5.6085975
1698,204.0,-301.26145671966646,-7.294842500000001
1709,204.0,-231.85896261288752,-5.3593265
1719,204.0,-300.64727535588963,-7.2655165
1729,204.0,-247.82767807108442,-5.6819125
