time,angle,velocity,current
302,204.0,-90.59724894422244,-3.1745395000000003
347,204.0,-198.69316896894003,-5.9458465
357,204.0,-207.90588942559214,-5.8432055
366,204.0,-283.45019717013906,-7.5001245
376,204.0,-258.8829426190669,-6.5177035000000005
387,204.0,-307.40327035743445,-7.5001245
397,204.0,-270.5523885308262,-6.5177035000000005
407,204.0,-311.70253990387204,-7.5001245
417,204.0,-271.7807512583798,-6.5177035000000005
427,204.0,-313.54508399520256,-7.5001245
437,204.0,-274.85165807726383,-6.5323665
447,204.0,-312.9309026314257,-7.5001245
457,204.0,-274.23747671348707,-6.5177035000000005
467,204.0,-312.9309026314257,-7.5001245
478,204.0,-276.0800208048174,-6.5323665
488,204.0,-311.70253990387204,-7.5001245
497,204.0,-277.308383532371,-6.5616925
507,204.0,-312.9309026314257,-7.5001245
518,204.0,-276.0800208048174,-6.547029500000001
528,204.0,-311.70253990387204,-7.5001245
538,204.0,-276.0800208048174,-6.547029500000001
548,204.0,-306.7890889936577,-7.5001245
559,204.0,-276.0800208048174,-6.591018500000001
568,204.0,-312.3167212676489,-7.5001245
578,204.0,-276.69420216859424,-6.5616925
588,204.0,-311.0883585400953,-7.5001245
599,204.0,-277.308383532371,-6.5616925
609,204.0,-311.70253990387204,-7.5001245
619,204.0,-276.69420216859424,-6.5616925
629,204.0,-310.4741771763185,-7.5001245
640,204.0,-279.1509276237015,-6.6350075
649,203.408,-304.33236353855045,-7.470798500000001
659,204.0,-271.16656989460296,-6.5177035000000005
669,204.0,-309.85999581254174,-7.5001245
679,204.0,-278.53674625992466,-6.5763555
690,204.0,-311.70253990387204,-7.5001245
700,204.0,-279.7651089874783,-6.6056815
709,204.0,-311.0883585400953,-7.5001245
719,204.0,-276.69420216859424,-6.5763555
730,204.0,-310.4741771763185,-7.5001245
740,204.0,-279.7651089874783,-6.620344500000001
750,204.0,-312.3167212676489,-7.5001245
760,204.0,-277.308383532371,-6.5616925
771,204.0,-309.85999581254174,-7.5001245
780,204.0,-277.9225648961479,-6.591018500000001
790,204.0,-310.4741771763185,-7.5001245
800,204.0,-279.7651089874783,-6.6350075
811,204.0,-309.85999581254174,-7.5001245
821,204.0,-277.308383532371,-6.5616925
831,204.0,-308.6316330849881,-7.5001245
840,204.0,-281.60765307880865,-6.664333500000001
850,204.0,-309.85999581254174,-7.5001245
861,204.0,-277.9225648961479,-6.6056815
871,204.0,-306.7890889936577,-7.5001245
881,204.0,-277.308383532371,-6.6350075
891,204.0,-308.6316330849881,-7.5001245
901,204.0,-280.37929035125507,-6.6789965
911,204.0,-309.24581444876486,-7.5001245
921,204.0,-277.9225648961479,-6.591018500000001
931,204.0,-308.0174517212113,-7.5001245
942,204.0,-280.9934717150319,-6.6789965
952,204.0,-304.33236353855045,-7.4561355
961,204.0,-279.1509276237015,-6.6936595
971,204.0,-307.40327035743445,-7.5001245
982,204.0,-281.60765307880865,-6.6350075
992,204.0,-309.24581444876486,-7.4561355
1002,204.0,-288.3636480803535,-6.7523115
1012,204.0,-306.7890889936577,-7.4268095
1022,204.0,-285.2927412614695,-6.7669745
1032,204.0,-300.0330939921128,-7.3828205
1042,204.0,-289.5920108079072,-6.8549525000000004
1052,204.0,-298.8047312645592,-7.3095055
1062,204.0,-296.34800580945193,-7.0162455
1073,204.0,-296.34800580945193,-7.2361905
1083,204.0,-296.34800580945193,-7.0015825000000005
1092,204.0,-294.5054617181216,-7.2068645
1102,204.0,-302.48981944722004,-7.1335495
1113,204.0,-290.20619217168394,-7.1188865
1123,204.0,-301.87563808344316,-7.1335495
1133,204.0,-288.9778294441303,-7.0895605
1143,204.0,-301.87563808344316,-7.1628755
1153,204.0,-285.2927412614695,-7.0455715
1163,204.0,-306.17490762988086,-7.3534945
1173,204.0,-284.6785598976927,-7.0162455
1183,204.0,-305.56072626610404,-7.324168500000001
1193,204.0,-285.2927412614695,-6.9722565
1204,204.0,-311.70253990387204,-7.397483500000001
1213,204.0,-285.2927412614695,-6.9136045
1223,204.0,-311.70253990387204,-7.4268095
1233,204.0,-282.2218344425855,-6.8549525000000004
1244,204.0,-310.4741771763185,-7.4121465
1254,204.0,-281.60765307880865,-6.8256265
1264,204.0,-311.70253990387204,-7.4561355
1274,204.0,-280.9934717150319,-6.7669745
1284,204.0,-313.54508399520256,-7.5001245
1294,204.0,-279.1509276237015,-6.7669745
1304,204.0,-314.1592653589793,-7.5001245
1314,204.0,-275.46583944104066,-6.7083225
1325,204.0,-313.54508399520256,-7.5001245
1335,204.0,-274.85165807726383,-6.7083225
1344,204.0,-314.1592653589793,-7.5001245
1354,204.0,-272.3949326221566,-6.591018500000001
1364,204.0,-314.1592653589793,-7.5001245
1375,204.0,-273.0091139859334,-6.6056815
1385,204.0,-314.1592653589793,-7.5001245
1395,204.0,-273.6232953497102,-6.591018500000001
1405,204.0,-314.1592653589793,-7.5001245
1415,204.0,-268.09566307571896,-6.4590515
1425,204.0,-314.1592653589793,-7.5001245
1435,204.0,-273.0091139859334,-6.5616925
1445,204.0,-314.1592653589793,-7.5001245
1456,204.0,-275.46583944104066,-6.547029500000001
1466,204.0,-314.1592653589793,-7.5001245
1475,204.0,-273.6232953497102,-6.5323665
1485,204.0,-314.1592653589793,-7.5001245
1496,204.0,-274.85165807726383,-6.547029500000001
1506,204.0,-313.54508399520256,-7.5001245
1516,204.0,-269.93820716704937,-6.4590515
1526,204.0,-314.1592653589793,-7.5001245
1536,204.0,-274.85165807726383,-6.473714500000001
1546,204.0,-314.1592653589793,-7.5001245
1556,204.0,-275.46583944104066,-6.5323665
1566,204.0,-314.1592653589793,-7.5001245
1576,204.0,-276.0800208048174,-6.547029500000001
1587,204.0,-314.1592653589793,-7.5001245
1596,204.0,-274.85165807726383,-6.547029500000001
1606,203.704,-304.9465449023273,-7.5001245
1616,204.0,-275.46583944104066,-6.5763555
1627,204.0,-309.85999581254174,-7.5001245
1637,204.0,-279.1509276237015,-6.6056815
1647,204.0,-314.1592653589793,-7.5001245
1657,204.0,-276.0800208048174,-6.547029500000001
1667,204.0,-311.70253990387204,-7.5001245
1677,204.0,-277.308383532371,-6.5763555
