"time","motor.phi","der(motor.phi)","motor.ve","motor.tau"
0.984,-0.0274025,-0.0320694,11.9939,0.000125046
0.986,-0.0274667,-0.0320696,11.994,0.00012313
0.988,-0.0275308,-0.0320699,11.9941,0.000121244
0.99,-0.0275949,-0.0320701,11.9942,0.000119387
0.992,-0.0276591,-0.0320703,11.9943,0.000117559
0.994,-0.0277232,-0.0320706,11.9944,0.000115758
0.996,-0.0277874,-0.0320708,11.9945,0.000113985
0.998,-0.0278515,-0.032071,11.9946,0.000112239
1,-0.0279157,-0.0320712,11.9946,0.00011052
1,-0.0279157,-0.0320712,11.9946,0.00011052
