47896,0,1,15,0,0,0,28,63,1,1,1,15,0,0,0,1,46,1
47911,0,1,16,0,0,0,37,63,1,1,1,16,0,0,0,1,47,1
47921,0,1,18,0,0,0,42,67,1,1,1,18,0,0,0,2,49,1
47931,0,1,19,0,0,0,48,69,1,1,1,19,0,0,0,2,51,1
47941,0,1,21,0,0,0,52,73,1,1,1,21,0,1,0,3,52,1
48316,0,24,111,1,23,115,150,131,1,1,24,111,2,15,96,16,128,1
48326,0,25,114,1,23,116,152,136,1,1,25,114,2,15,96,16,133,1
48341,0,26,116,1,25,117,156,130,1,1,26,116,2,17,98,17,130,1
48356,0,28,117,1,27,120,158,133,1,1,28,117,2,18,99,17,134,1
48651,0,67,155,1,69,147,187,146,1,1,67,155,5,57,145,18,134,1
48671,0,70,156,0,72,149,186,148,1,1,70,156,5,60,146,18,134,1
48731,0,80,157,0,81,148,190,162,1,1,80,157,6,68,149,18,142,1
48741,0,81,156,0,82,148,194,158,1,1,81,156,6,70,150,18,137,1
48756,0,83,156,0,85,150,195,153,1,1,83,156,6,72,151,18,134,1
48766,0,84,156,0,86,150,195,149,1,1,84,156,6,73,151,18,132,1
48776,0,86,156,0,88,149,193,154,1,1,86,156,6,75,152,18,133,1
49006,0,117,134,0,120,127,191,150,1,1,117,134,9,107,136,16,123,1
49101,0,130,116,0,131,113,186,147,1,1,130,116,10,118,122,16,121,1
49151,0,135,104,0,137,103,179,140,1,1,135,104,10,123,112,15,116,1
49161,0,136,101,0,138,101,178,136,1,1,136,101,10,124,112,15,112,1
49171,0,137,98,0,138,98,176,136,1,1,137,98,10,125,110,15,109,1
49186,0,138,96,0,140,93,174,135,1,1,138,96,11,126,109,14,107,1
49446,0,153,30,0,151,12,160,127,1,1,153,30,13,142,38,13,98,1
49521,0,155,18,0,151,4,162,128,1,1,155,18,14,145,31,11,87,1
49571,0,156,11,0,151,2,156,124,1,1,156,11,15,145,17,11,94,1
49581,0,156,10,0,151,2,155,125,1,1,156,10,15,145,14,11,95,1
49591,0,156,9,0,151,2,154,122,1,1,156,9,15,145,12,11,96,1
49601,0,156,8,0,151,2,153,120,1,1,156,8,15,145,10,11,95,1
