pos,vel
0,0
4.18879020478639e-06,0.00125663706143592
3.35103216382911e-05,0.00502654824574367
0.000113097335529233,0.0113097335529233
0.000268082573106329,0.0201061929829747
0.000523598775598299,0.0314159265358979
0.000904778684233861,0.045238934211693
0.00143675504024173,0.06157521601036
0.00214466058485063,0.0804247719318987
0.00305362805928928,0.101787601976309
0.00418879020478639,0.125663706143592
0.00557527976257069,0.152053084433746
0.00723822947387088,0.180955736846772
0.0092027720799157,0.21237166338267
0.0114940403219339,0.24630086404144
0.0141371669411541,0.282743338823081
0.0171572846788051,0.321699087727595
0.0205795262761155,0.36316811075498
0.0244290244743142,0.407150407905237
0.0287309120146299,0.453645979178366
0.0335103216382911,0.502654824574367
0.0387923860865268,0.554176944093239
0.0446022381005655,0.608212337734984
0.050965010421636,0.6647610054996
0.0579058357909671,0.723822947387088
0.0654498469497874,0.785398163397448
0.0736221766393256,0.84948665353068
0.0824479576008105,0.916088417786784
0.0919523225754709,0.985203456165759
0.102160404304535,1.05683176866761
0.113097335529233,1.13097335529233
0.124788248990791,1.20762821603992
0.137258277430441,1.28679635091038
0.150532553589409,1.36847775990371
0.164636210208924,1.45267244301992
0.179594380030217,1.539380400259
0.195432195794514,1.62860163162095
0.212174790243045,1.72033613710577
0.229847296117039,1.81458391671347
0.248474846157724,1.91134497044403
0.268082573106329,2.01061929829747
0.288695609704083,2.11240690027378
0.310339088692214,2.21670777637296
0.333038142811952,2.32352192659501
0.356817904804524,2.43284935093994
0.38170350741116,2.54469004940773
0.407720083373088,2.6590440219984
0.434892765431538,2.77591126871194
0.463246686327737,2.89529178954835
0.492806978802914,3.01718558450764
0.523598775598299,3.14159265358979
0.55563883187471,3.26599972267195
0.588910392471329,3.38789351763123
0.623388324646925,3.50727403846765
0.659047495660272,3.62414128518119
0.69586277277014,3.73849525777186
0.733809023235299,3.85033595623965
0.772861114314523,3.95966338058458
0.812993913266581,4.06647753080663
0.854182287350246,4.17077840690581
0.896401103824288,4.27256600888212
0.939625229947479,4.37184033673556
0.98382953297859,4.46860139046612
1.02898888017639,4.56284917007382
1.07507813879966,4.65458367555864
1.12207217610716,4.74380490692059
1.16994585935766,4.83051286415967
1.21867405580994,4.91470754727587
1.26823163272277,4.99638895626921
1.31859345735491,5.07555709113967
1.36973439696515,5.15221195188726
1.42162931881225,5.22635353851198
1.47425309015498,5.29798185101383
1.52758057825212,5.3670968893928
1.58158665036243,5.43369865364891
1.63624617374469,5.49778714378214
1.69153401565766,5.5593623597925
1.74742504336013,5.61842430167998
1.80389412411085,5.6749729694446
1.86091612516861,5.72900836308634
1.91846591379217,5.78053048260522
1.9765183572403,5.82953932800122
2.03504832277178,5.87603489927435
2.09403067764538,5.9200171964246
2.15344028911987,5.96148621945199
2.21325202445401,6.0004419683565
2.27344075090659,6.03688444313814
2.33398133573636,6.07081364379691
2.39484864620211,6.10222957033281
2.45601754956261,6.13113222274584
2.51746291307662,6.15752160103599
2.57915960400292,6.18139770520327
2.64108248960028,6.20276053524768
2.70320643712746,6.22161009116922
2.76550631384325,6.23794637296789
2.82795698700641,6.25176938064368
2.89053332387571,6.2630791141966
2.95321019170993,6.27187557362666
3.01596245776784,6.27815875893383
3.0787649893082,6.28192867011814
3.14159265358979,6.28318530717958
3.20442031787138,6.28192867011814
3.26722284941174,6.27815875893383
3.32997511546965,6.27187557362665
3.39265198330387,6.2630791141966
3.45522832017317,6.25176938064368
3.51767899333633,6.23794637296788
3.57997887005212,6.22161009116922
3.64210281757931,6.20276053524768
3.70402570317666,6.18139770520327
3.76572239410296,6.15752160103598
3.82716775761697,6.13113222274583
3.88833666097747,6.1022295703328
3.94920397144322,6.0708136437969
4.009744556273,6.03688444313813
4.06993328272557,6.00044196835649
4.12974501805972,5.96148621945198
4.1891546295342,5.92001719642459
4.2481369844078,5.87603489927433
4.30666694993928,5.82953932800121
4.36471939338742,5.7805304826052
4.42226918201098,5.72900836308633
4.47929118306873,5.67497296944459
4.53576026381946,5.61842430167997
4.59165129152192,5.55936235979248
4.6469391334349,5.49778714378212
4.70159865681716,5.43369865364889
4.75560472892747,5.36709688939279
4.8089322170246,5.29798185101381
4.86155598836733,5.22635353851196
4.91345091021443,5.15221195188724
4.96459184982467,5.07555709113965
5.01495367445682,4.99638895626919
5.06451125136965,4.91470754727585
5.11323944782193,4.83051286415965
5.16111313107243,4.74380490692057
5.20810716837993,4.65458367555862
5.25419642700319,4.56284917007379
5.29935577420099,4.4686013904661
5.34356007723211,4.37184033673554
5.3867842033553,4.2725660088821
5.42900301982934,4.17077840690579
5.470191393913,4.06647753080661
5.51032419286506,3.95966338058455
5.54937628394428,3.85033595623963
5.58732253440945,3.73849525777183
5.62413781151931,3.62414128518116
5.65979698253266,3.50727403846762
5.69427491470826,3.38789351763121
5.72754647530487,3.26599972267193
5.75958653158129,3.14159265358977
5.79037832837667,3.01718558450762
5.81993862085185,2.89529178954833
5.84829254174805,2.77591126871192
5.87546522380649,2.65904402199838
5.90148179976842,2.54469004940771
5.92636740237506,2.43284935093991
5.95014716436763,2.32352192659499
5.97284621848736,2.21670777637293
5.9944896974755,2.11240690027375
6.01510273407325,2.01061929829744
6.03471046102185,1.91134497044401
6.05333801106254,1.81458391671344
6.07101051693653,1.72033613710575
6.08775311138506,1.62860163162092
6.10359092714936,1.53938040025897
6.11854909697065,1.4526724430199
6.13265275359016,1.36847775990369
6.14592702974913,1.28679635091036
6.15839705818878,1.20762821603989
6.17008797165034,1.1309733552923
6.18102490287504,1.05683176866758
6.1912329846041,0.985203456165735
